Id,NOM_OFFRE,RUE,CODE_POSTAL,COMMUNE,TEL,MaiL,SITE_WEB,INFOS_COMPLEMENTAIRES,CLASSEMENT,CAPACITE_NBRE_PERS,Date,Tarif_logement,Tarif_SERVICES,Nombre_Semaine_Heberge
VILAQU040FS0000C,Artes le Junka,Avenue de la plage,40480,VIEUX-BOUCAU,+33 5 58 41 94 19,accueil@lejunka.com,http://www.lejunka.com,Accï¿½s internet # Kitchenette # Lave linge # Tï¿½lï¿½vision # Terrasse privative / balcon # Wifi,3 étoiles,450,01/01/2016|31/12/2016|||||,Tarif logement par semaine|360,00| # Tarif service par week-end|36,17540
VILAQU040FS00006,Azureva,911 avenue du Touring-Club,40150,SOORTS-HOSSEGOR,+33 5 58 43 67 72,hossegor@azureva-vacances.com,http://www.azureva-vacances.com,Accï¿½s internet # Kitchenette # Tï¿½lï¿½vision # Terrasse privative / balcon # Wifi,1 étoiles,320,01/01/2016|31/12/2016|||||,Tarif logement par semaine|100,00| # Tarif service par week-end|10,12160
VILAQU06401SGMRH,Azureva Anglet,48 promenade des Sables,64600,ANGLET,+33 5 59 58 04 70,anglet@azureva-vacances.com,https://www.azureva-vacances.com,Terrasse privative / balcon # Wifi,2 étoiles,252,01/01/2016|31/12/2016|||||,Tarif logement par semaine|230,00| # Tarif service par week-end|23,10600
VILAQU033FS0000G,Azureva Lacanau,Alliée du Vieux Port,33680,LACANAU,+33 5 56 03 51 68,lacanau@azureva-vacances.com,http://www.azureva-vacances.com,Lave linge # Lave vaisselle # Tï¿½lï¿½vision # Wifi,3 étoiles,432,01/01/2016|31/12/2016|||||,Tarif logement par semaine|339,00| # Tarif service par week-end|33,23240
VILAQU06401ZX9FM,Belambra Club Lou Sarri,48 promenade des Sables,64440,EAUX-BONNES,+33 5 59 05 10 15,club.gourette@belambra.fr,http://www.belambra.fr/club-gourette-lou-sarri/ete,Tï¿½lï¿½vision # Terrasse privative / balcon # Wifi,3 étoiles,632,01/01/2016|31/12/2016|||||,Tarif logement par semaine|396,00| # Tarif service par week-end|39,22001
VILAQU04001WBCXR,Belambra Club Les Estagnots,Avenue du Penon,40510,SEIGNOSSE,+33 5 58 41 68 50 # +33 8 25 80 88 08,club.seignosse-les-estagnots@belambra.fr,http://www.belambra.fr,Kitchenette # Lave vaisselle # Tï¿½lï¿½vision # Terrasse privative / balcon # Wifi,3 étoiles,1790,01/01/2016|31/12/2016|||||,Tarif logement par semaine|342,00| # Tarif service par week-end|34,65040
VILAQU040FS00002,Camping Village Vacances Les 2 Etangs,1379 route de l'Etang Blanc,40510,SEIGNOSSE,+33 5 58 41 66 99,info@les2etangs.com,http://www.les2etangs.com,Kitchenette # Tï¿½lï¿½vision # Terrasse privative / balcon # Wifi,4 étoiles,172,01/01/2016|31/12/2016|||||,Tarif logement par semaine|596,00| # Tarif service par week-end|59,9132
VILAQU06401SGM90,Club Belambra La Chambre d'Amour,Promenade des Sources,64600,ANGLET,+33 5 59 31 31 31,club.anglet@belambra.fr,http://www.belambra.fr/club-anglet-la-chambre-d-amour,Tï¿½lï¿½vision,4 étoiles,772,01/01/2016|31/12/2016|||||,Tarif logement par semaine|430,00| # Tarif service par week-end|43,28950
VILAQU06401W17U1,Club de Vacances Le Saint Ignace,Route des carriï¿½res,64310,ASCAIN,+33 5 59 54 03 10,saintignace@gmail.com,https://www.ternelia.com/fr/mer/ternelia-club-de-vacances-saintignace # http://www.vacances-club.fr,Tï¿½lï¿½vision # Terrasse privative / balcon # Wifi,3 étoiles,221,01/01/2016|31/12/2016|||||,Tarif logement par semaine|305,00| # Tarif service par semaine|30,10732
VILAQU064017XVW5,Club Vacanciel de Guï¿½thary,680 chemin du Trinquet,64210,GUETHARY,+33 5 59 51 89 89,guethary@vacanciel.com,http://www.vacanciel.com,Kitchenette # Tï¿½lï¿½vision # Terrasse privative / balcon # Wifi,3 étoiles,383,01/01/2016|31/12/2016|||||,Tarif logement par semaine|375,00| # Tarif service par week-end|37,16518
VILAQU024FS0002T,Domaine de Pelvezy,35 rue de Bel Air,24590,SAINT-GENIES,+33 5 53 30 82 00,accueil.pelvezy@vacances-ulvf.com,http://www.vacances-ulvf.com/nos-villages/le-domaine-de-pelvezy,Kitchenette # Terrasse privative / balcon,3 étoiles,336,01/01/2016|31/12/2016|||||,Tarif logement par semaine|339,00| # Tarif service par week-end|33,11584
VILAQU024FS0000M,Domaine des Compouzines,27 Compouzines Hautes,24290,MONTIGNAC,+33 5 53 51 81 96,domainedescompouzines@wanadoo.fr,http://www.gites-dordogne-montignac.fr,Accï¿½s internet # Kitchenette # Lave linge # Lave vaisselle # Tï¿½lï¿½vision # Terrasse privative / balcon # Wifi,3 étoiles,68,01/01/2016|31/12/2016|||||,Tarif logement par semaine|310,00| # Tarif service par week-end|31,3680
VILAQU047FS00008,Fï¿½dï¿½ration des oeuvres laï¿½ques de Lot-et-Garonne - Vacances pour tous,Village Vacances l'Airial,47420,SAUMEJAN,+33 5 53 89 12 02,saumejan@laligue-fol47.org,http://www.airial-saumejan.fr/,Climatisation # Kitchenette # Lave vaisselle # Terrasse privative / balcon # Wifi,3 étoiles,158,01/01/2016|31/12/2016|||||,Tarif logement par semaine|350,00| # Tarif service par week-end|35,6384
VILAQU047FS0000N,Grand Bleu Port Lalande,12 rue Porteteni,47260,CASTELMORON-SUR-LOT,+33 4 68 37 65 65,resa@grandbleu.fr,http://www.grandbleu.fr,Climatisation # Tï¿½lï¿½vision,2 étoiles,360,01/01/2016|31/12/2016|||||,Tarif logement par semaine|266,00| # Tarif service par week-end|26,12400
VILAQU047FS0000O,La Base - Le Temple-sur-Lot,45 route du Lion,47110,LE TEMPLE-SUR-LOT,+33 5 53 01 08 33,contact@la-base.com,http://www.la-base.com,Accï¿½s internet # Lave linge # Sï¿½che linge # Tï¿½lï¿½vision # Wifi,4 étoiles,260,01/01/2016|31/12/2016|||||,Tarif logement par semaine|485,00| # Tarif service par week-end|48,13512
VILAQU040FS0000Q,Le Carrefour des Landes,38 rue de Bel Air,40200,MIMIZAN PLAGE,+33 5 58 09 05 36,sidobre-ocean@orange.fr,http://www.le-carrefour-des-landes.com,Wifi,2 étoiles,96,01/01/2016|31/12/2016|||||,Tarif logement par semaine|305,00| # Tarif service par week-end|30,3265
VILAQU040V5055UT,Le Hameau des Ecureuils,4bis impasse Georges Brassens,40480,VIEUX-BOUCAU,+33 5 58 48 11 94,lehameaudesecureuils@orange.fr,http://www.location-vacances-landes-40.com,Kitchenette # Terrasse privative / balcon,2 étoiles,180,01/01/2016|31/12/2016|||||,Tarif logement par week-end|202,00| # Tarif service par semaine|20,4540
VILAQU047FS0000A,Le Relais du Moulin Neuf,210 Moulin Neuf,47230,BARBASTE,+33 5 53 97 68 00,contact@relais-moulinneuf.fr,http://www.relais-moulinneuf.fr # http://www.seminaires-moulinneuf.fr,Accï¿½s internet # Kitchenette # Lave linge # Tï¿½lï¿½vision # Terrasse privative / balcon # Wifi,4 étoiles,130,01/01/2016|31/12/2016|||||,Tarif logement par semaine|485,00| # Tarif service par week-end|48,3500
VILAQU06401Y4ZAD,Les Chalets d'Iraty,Avenue du Penon,64560,LARRAU,+33 5 59 28 51 29,info@chalets-iraty.com,http://www.chalets-iraty.com # https://iraty.resadirect-online.com/Default.aspx?Page=ListeOffre&lang=FR,Accï¿½s internet # Lave linge # Lave vaisselle,3 étoiles,296,01/01/2016|31/12/2016|||||,Tarif logement par semaine|340,00| # Tarif service par week-end|34,10008
VILAQU033FS00003,Rï¿½sidence de vacances La Forestiï¿½re,60 route du Lion,33680,LACANAU,+33 5 56 03 20 50 # +33 8 25 81 31 23,vtflacanau@vtf-vacances.com,http://www.vtf-vacances.com,Accï¿½s internet # Terrasse privative / balcon,2 étoiles,215,01/01/2016|31/12/2016|||||,Tarif logement par semaine|279,00| # Tarif service par week-end|27,7400
VILAQU040V50C3J1,Slow Village Biscarrosse Lac,7141 route des lacs,40600,BISCARROSSE,+33 5 45 91 13 65,contact@slow-village.fr,http://www.slow-village.fr,Accï¿½s internet # Kitchenette # Tï¿½lï¿½vision # Wifi,3 étoiles,460,01/01/2016|31/12/2016|||||,Tarif logement par semaine|395,00| # Tarif service par week-end|39,12321
VILAQU040FS0000D,Solana Club Vacances,1 rue Porteteni,40480,VIEUX-BOUCAU,+33 6 81 09 08 80 # +33 5 58 47 62 64,contact@solanaclub.fr,http://www.solanaclub.fr/a-vieux-boucau.html,Accï¿½s internet # Kitchenette # Tï¿½lï¿½vision # Wifi,3 étoiles,169,01/01/2016|31/12/2016|||||,Tarif logement par semaine|380,00| # Tarif service par week-end|38,7125
VILAQU04001WBB0L,Village Club Cap Ocï¿½an,7-9 avenue Jean Moulin,40510,SEIGNOSSE,+33 5 58 43 31 15 # +33 5 65 22 68 21,accueil@capocean.org,http://www.capocean.org,Kitchenette # Tï¿½lï¿½vision # Terrasse privative / balcon # Wifi,3 étoiles,650,01/01/2016|31/12/2016|||||,Tarif logement par semaine|359,00| # Tarif service par week-end|35,36540
VILAQU033FS00006,Village Club Cï¿½vï¿½o Les Dunes,Domaine de Bombannes,33121,CARCANS,+33 4 73 77 56 14,reservation@ceveo.com,http://www.ceveo.com,Accï¿½s internet # Kitchenette # Lave vaisselle # Terrasse privative / balcon # Wifi,3 étoiles,456,01/01/2016|31/12/2016|||||,Tarif logement par semaine|444,00| # Tarif service par week-end|60,15682
VILAQU024FS00014,Village de la Combe,Avenue du Penon,24250,DOMME,+33 5 53 29 77 42,contact@villagedelacombe.com,http://www.sarlat-gites-dordogne.com,Accï¿½s internet # Climatisation # Kitchenette # Lave vaisselle # Terrasse privative / balcon # Wifi,3 étoiles,68,01/01/2016|31/12/2016|||||,Tarif logement par semaine|405,00| # Tarif service par week-end|45,2452
VILAQU06401FD3CB,Village de Vacances Arriu-Mage,Bourg,64260,BIELLE,+33 5 59 05 47 47,arriumage-bielle@orange.fr,http://www.escapia-vacances.fr,Kitchenette,3 étoiles,234,01/01/2016|31/12/2016|||||,Tarif logement par semaine|446,00| # Tarif service par week-end|43,9125
